url,title,locate,tag,numOfPeople,totalMoney,percentage,author,date
https://www.kaishiba.com/project/detail/id/757E8245421B887FE050190AFD014AF4,你吃过苹果，但不一定比“果燃35°”更撩舌尖！,南京市,农业,51,470941,2354.70,罗雨露,2018年09月29日
https://www.kaishiba.com/project/detail/id/764BAB0DC647D84CE050190AFD0152C0,五条人糖水风暴，给我们的生活加点甜,厦门市,餐饮,159,700022,1400.04,张永强,2018年09月28日
https://www.kaishiba.com/project/detail/id/74A58551F66D03AEE050190AFD01076F,《前任攻略3》取景地，成都冲浪滑水爱好者聚集地,成都市,休闲,15,498001,996.00,肖舜铭,2018年09月28日
https://www.kaishiba.com/project/detail/id/765BB8EBF073913CE050190AFD0138F9,跨越大半个中国后，他选择回归家乡，打造一座四季民宿,威海市,民宿,22,475022,475.02,薛睿,2018年09月28日
https://www.kaishiba.com/project/detail/id/6FA11E45B3EE97C3E050190AFD013CD2,798机遇空间——全新的第三生活空间,朝阳区,休闲,57,26420,2642.00,李雪冰,2018年09月28日
https://www.kaishiba.com/project/detail/id/75819A8F0C2DAF56E050190AFD015953,大理不止苍山洱海，还有一片叫“紫玉萝”的萝卜园！,大理白族自治州,农业,318,3022992,60459.84,赵敏,2018年09月28日
https://www.kaishiba.com/project/detail/id/70B0978ECE2AC782E050190AFD0101F2,风靡全上海的青旅酒店又来了！空集颠覆你的认知,杨浦区,民宿,170,6735010,6735.01,杨柳,2018年09月27日
https://www.kaishiba.com/project/detail/id/752E3EFA11FFF7BAE050190AFD0157D0,盯着你好好吃饭的，除了姆妈还有晴海妈妈，成都纯口碑便当来袭,成都市,餐饮,24,3297000,6594.00,曾琼鸰,2018年09月27日
https://www.kaishiba.com/project/detail/id/748CD41EE0FA1B3AE050190AFD010DA4,用一个枕头，拯救一场失眠,杭州市,休闲,227,558371,11167.42,戴云飚,2018年09月27日
https://www.kaishiba.com/project/detail/id/75318C4A54A4F4C0E050190AFD017854,五年开了四家民宿，这一次邀你醉卧千年古城,台州市,民宿,121,3225126,3225.13,章万清,2018年09月26日
https://www.kaishiba.com/project/detail/id/76377A61E6FA096DE050190AFD012350,带孩子去旅行，回到三只企鹅的家,西安市,民宿,88,1765001,3530.00,马新颖,2018年09月26日
https://www.kaishiba.com/project/detail/id/72719B090B24CB6DE050190AFD014208,可以带皮吃的涌泉蜜桔，出汁率高达95%，每一口都汁水四溢,台州市,农业,229,2525818,2525.82,周平,2018年09月26日
https://www.kaishiba.com/project/detail/id/72BF5CF973A8926EE050190AFD0157EE,享誉全球的丽世酒店，带你探寻茶马古道上的秘境,丽江市,休闲,9,51002,1020.04,刘颖莹,2018年09月25日
https://www.kaishiba.com/project/detail/id/708B4EB999C739AAE050190AFD016CE2,睡进海洋图书馆，梦里会有鱼上岸,深圳市,休闲,370,136189,2723.78,沈晓鸣,2018年09月22日
https://www.kaishiba.com/project/detail/id/742D9DCFDE7BB582E050190AFD01023C,3天热销400多万的网红人参蜜，专业投资人带头掀起养生新热潮,杭州市,农业,135,4285000,85700.00,叶子倩,2018年09月21日
https://www.kaishiba.com/project/detail/id/72576C4F34162E54E050190AFD012097,当“敬老”院不再敬老，五年后中国2.8亿老人如何享受岁月静好,杭州市,休闲,12,129992,12999.20,陈金才,2018年09月21日
https://www.kaishiba.com/project/detail/id/760CED5666718F07E050190AFD0168E8,在抖音上比厦门更火的城市，这家民宿拉开窗帘就能看见开元古寺,泉州市,民宿,44,825000,1650.00,陈及滨,2018年09月20日
https://www.kaishiba.com/project/detail/id/75BCBA76E3B67CF0E050190AFD017FAF,容老爷，我家的酱料牛杂很好吃,广州市,餐饮,58,4060000,81200.00,容慧婷,2018年09月20日
https://www.kaishiba.com/project/detail/id/7462B5BFBAB86D79E050190AFD017E0A,赚钱是最深刻的修行，北大学霸用一碗佛系拌面来治愈都市人的焦虑,徐汇区,餐饮,37,4553600,9107.20,李峰,2018年09月20日
https://www.kaishiba.com/project/detail/id/75185150D8CB3CEFE050190AFD016006,上海胡庆余堂的即食燕窝，你不来试试吗？,上海市,农业,109,2225496,44509.92,胡存超,2018年09月20日
https://www.kaishiba.com/project/detail/id/6FAFFFB9352325A2E050190AFD015C27,植物手作大神狂撩1000万粉丝，邀你一起给城市“变装”！,漳州市,休闲,410,2277873,113893.65,陈茹萍,2018年09月20日
https://www.kaishiba.com/project/detail/id/742678D86561AF5FE050190AFD01391D,20多个复合菌群发酵的酵素，负责你的“内在”美,北京市,休闲,112,122185,12218.50,傅丽丽,2018年09月20日
https://www.kaishiba.com/project/detail/id/72D0C984F177848FE050190AFD0164EF,FUSION，世界百大DJ聚集地，魔都夜生活老炮们的精神圣地,黄浦区,休闲,89,6750051,13500.10,钟生晴,2018年09月19日
https://www.kaishiba.com/project/detail/id/7481729FD7D8C06FE050190AFD01029D,私奔到元阳，归园田居,红河哈尼族彝族自治州,民宿,144,4110053,4110.05,王卫东,2018年09月19日
https://www.kaishiba.com/project/detail/id/73900719231D2280E050190AFD01672C,说要把洪金甲做成中国的可口可乐，他们都以为我不是认真的,苏州市,餐饮,93,1500352,15003.52,李森林,2018年09月19日
https://www.kaishiba.com/project/detail/id/7310C0CAD0055597E050190AFD011A6F,当中香界遇到花间堂，红尘处，庭院深深,丽江市,民宿,89,4451204,4451.20,王琴,2018年09月18日
https://www.kaishiba.com/project/detail/id/747FA4B860E1FED1E050190AFD0130F8,辐射30万活跃家庭，真正懂亲子空间的海饼干又来了！,成都市,餐饮,54,1944001,1944.00,许宪,2018年09月18日
https://www.kaishiba.com/project/detail/id/74A4A6568E75636BE050190AFD015DFC,来自泰国东部的全能椰子油， 麦迪尔的下一个爆款产品,厦门市,休闲,103,613888,30694.40,巫井伊,2018年09月18日
https://www.kaishiba.com/project/detail/id/747A45AF49F35328E050190AFD01394D,在世界最深的湖中，接一个最深的吻,伊尔库茨克,休闲,71,845712,8457.12,宋虓虓,2018年09月15日
https://www.kaishiba.com/project/detail/id/751A212BC05A57DEE050190AFD013346,Chotto，藏在深圳的美食花园,深圳市,餐饮,108,1070001,2140.00,李素,2018年09月14日
https://www.kaishiba.com/project/detail/id/746361C22D248E86E050190AFD011D6E,聪慧也可以不绝顶，美丽从头开始,北京市,休闲,108,40496,4049.60,吴庆辉,2018年09月14日
https://www.kaishiba.com/project/detail/id/7024A4E19BCF1A88E050190AFD015AFB,这颗撕着吃的红心火龙果里，藏着淡淡玫瑰香,金华市,农业,64,9630,963.00,汤湘濡,2018年09月14日
https://www.kaishiba.com/project/detail/id/750808FD60A4EB74E050190AFD0172A7,不一样的丽江古城，不一样的香叙美宿,丽江市,民宿,88,1977503,3955.01,许敏奇,2018年09月13日
https://www.kaishiba.com/project/detail/id/6F973814623EDC11E050190AFD0179A7,BrewBear智能精酿吧，打造开店新概念！,长宁区,餐饮,39,2652000,5304.00,黄竞进,2018年09月13日
https://www.kaishiba.com/project/detail/id/70C669D74CE72E03E050190AFD015CB4,入围金堂奖设计酒店，飞鸟集打造年轻人的一站式服务,南昌市,酒店,51,3200011,6400.02,杨帆,2018年09月12日
